słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfai, 0.03732%, 0.03732
ingen, 0.00032%, 0.07846
england, 0.00032%, 0.07850
plads, 0.00032%, 0.07844
stedet, 0.00032%, 0.07872
kr, 0.00032%, 0.07866
fodboldspiller, 0.00031%, 0.07833
error, 0.00031%, 0.07820
tog, 0.00031%, 0.07838
spiller, 0.00031%, 0.07869
døde, 0.00031%, 0.07865
filmen, 0.00031%, 0.07888
helt, 0.00031%, 0.07917
v, 0.00031%, 0.07947
noter, 0.00031%, 0.07929
artikel, 0.00031%, 0.07893
is, 0.00030%, 0.07857
t, 0.00030%, 0.07876
forbindelse, 0.00030%, 0.07905
nord, 0.00030%, 0.07887
hver, 0.00030%, 0.07851
centerpx, 0.00030%, 0.07861
meter, 0.00030%, 0.07890
sommerol, 0.00029%, 0.07811
socket, 0.00029%, 0.07825
amerikanske, 0.00029%, 0.07843
lige, 0.00029%, 0.07836
således, 0.00029%, 0.07813
går, 0.00029%, 0.07749
bruges, 0.00028%, 0.07749
dermed, 0.00028%, 0.07736
engelsk, 0.00028%, 0.07747
dr, 0.00028%, 0.07761
aarhus, 0.00028%, 0.07787
frederik, 0.00028%, 0.07808
området, 0.00028%, 0.07821
tysk, 0.00028%, 0.07827
hjemmeside, 0.00028%, 0.07827
skrevet, 0.00028%, 0.07825
london, 0.00028%, 0.07839
allerede, 0.00028%, 0.07862
sted, 0.00028%, 0.07865
begge, 0.00027%, 0.07830
kommer, 0.00027%, 0.07854
stadig, 0.00027%, 0.07862
karriere, 0.00027%, 0.07863
storbritannien, 0.00027%, 0.07862
ned, 0.00027%, 0.07867
især, 0.00027%, 0.07832
forhold, 0.00027%, 0.07841
la, 0.00027%, 0.07848
syd, 0.00027%, 0.07872
r, 0.00027%, 0.07868
hansen, 0.00026%, 0.07826
fordi, 0.00026%, 0.07839
land, 0.00026%, 0.07835
set, 0.00026%, 0.07861
gift, 0.00026%, 0.07878
følgende, 0.00026%, 0.07876
eks, 0.00026%, 0.07882
gruppe, 0.00026%, 0.07873
børn, 0.00026%, 0.07875
thomas, 0.00026%, 0.07892
århundrede, 0.00026%, 0.07850
fodbold, 0.00026%, 0.07876
godt, 0.00026%, 0.07885
as, 0.00026%, 0.07893
york, 0.00026%, 0.07914
arbejde, 0.00025%, 0.07918
bebyggelse, 0.00025%, 0.07923
brug, 0.00025%, 0.07930
må, 0.00025%, 0.07907
nogen, 0.00025%, 0.07917
service, 0.00025%, 0.07941
world, 0.00025%, 0.07915
gjorde, 0.00025%, 0.07924
universitet, 0.00025%, 0.07934
runde, 0.00025%, 0.07937
indbyggere, 0.00025%, 0.07955
liv, 0.00025%, 0.07972
artiklen, 0.00025%, 0.07983
verden, 0.00025%, 0.07984
com, 0.00025%, 0.08000
form, 0.00025%, 0.08010
fem, 0.00024%, 0.08010
europa, 0.00024%, 0.08033
lang, 0.00024%, 0.08042
lidt, 0.00024%, 0.08036
kampe, 0.00024%, 0.08038
består, 0.00024%, 0.08059
personer, 0.00024%, 0.08073
får, 0.00024%, 0.08075
italien, 0.00024%, 0.08046
then, 0.00024%, 0.08067
udgave, 0.00024%, 0.08076
tv, 0.00024%, 0.08082
derefter, 0.00024%, 0.08082
jensen, 0.00024%, 0.08099
deltog, 0.00024%, 0.08100
nielsen, 0.00024%, 0.08062
wikipedia, 0.00024%, 0.08077
michael, 0.00023%, 0.08072
måtte, 0.00023%, 0.08081
gav, 0.00023%, 0.08092
kamp, 0.00023%, 0.08014
mål, 0.00023%, 0.08031
videre, 0.00023%, 0.08011
litteratur, 0.00023%, 0.08030
album, 0.00023%, 0.08035
ifølge, 0.00023%, 0.08019
verdenskrig, 0.00023%, 0.08032
jan, 0.00023%, 0.08053
henrik, 0.00023%, 0.08074
landet, 0.00023%, 0.08096
bygget, 0.00023%, 0.08093
stort, 0.00023%, 0.08099
lande, 0.00023%, 0.08109
samtidig, 0.00023%, 0.08132
no, 0.00023%, 0.08150
skrev, 0.00023%, 0.08163
sæson, 0.00022%, 0.08166
rusland, 0.00022%, 0.08169
sprog, 0.00022%, 0.08131
local, 0.00022%, 0.08137
vest, 0.00022%, 0.08151
museum, 0.00022%, 0.08169
nok, 0.00022%, 0.08178
paris, 0.00022%, 0.08178
indeholder, 0.00022%, 0.08191
dele, 0.00022%, 0.08209
instrueret, 0.00022%, 0.08226
